id,userid,password,residence_state,high_school,high_school_name,high_school_city,high_school_state,major_1,major_2,GPA,college_class,ACT_english,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_math,SAT_EBRW,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
5186,davisbrittany,HQXxhzUv9kOIudTwM,NY,42,Rye Country Day School,Rye,NY,Agricultural and Extension Education Services,"Family and Consumer Sciences/Human Sciences, General",2.91,2028,23,23,21,18,25,635,414,694,645,631,529,735,475,529,705,704,2
5185,todd31,vZxyOvoP8uFDE2W,DC,34,Sidwell Friends School,Washington,DC,Dairy Science,Information Technology,3.64,2025,20,31,23,20,28,741,510,632,718,523,730,598,468,795,763,539,3
5184,greerchristian,eEF0DT7F7218Ajdbf,IL,194,Jones College Prep High School,Chicago,IL,African Studies,Community Health Services/Liaison/Counseling,2.87,2024,16,22,19,29,23,501,653,584,580,513,663,706,536,756,684,790,1
5183,stephenmay,0W4tBbDUX6D6Zglfnedw,CA,168,Marymount High School,Los Angeles,CA,Conservation Biology,Fashion/Apparel Design,4.00,2028,31,22,23,26,14,593,674,566,473,599,448,782,668,513,629,716,8
5182,adamsbruce,6wv2fzljk8mKICetHz,OH,180,Hathaway Brown School,Shaker Heights,OH,"Computer Programming/Programmer, General","Electrical, Electronics and Communications Engineering, Other",2.86,2028,25,15,18,29,27,419,569,642,657,542,632,786,427,763,479,636,2
5181,mcdanielcolleen,S32OdrmO6,GA,167,Atlanta International School,Atlanta,GA,Forensic Science and Technology,American Indian/Native American Studies,2.94,2024,21,22,24,12,27,451,449,800,624,497,800,686,627,628,706,637,7
5180,darren01,629fLDJktZpANJHg,MA,83,Commonwealth School,Boston,MA,Ethnic Studies,"Business, Management, Marketing, and Related Support Services, Other",2.93,2024,19,16,18,18,10,425,464,446,649,713,776,562,756,550,656,722,1
5179,rhonda28,Q08qGKHeHjRb8Zx06,TX,87,Greenhill School,Addison,TX,"Engineering, Other",Agricultural Teacher Education,3.01,2025,11,28,16,20,4,403,603,671,721,757,679,800,593,725,664,800,6
5178,zsmith,JpMwtcjN8rovSw,CA,111,Lick-Wilmerding High School,San Francisco,CA,"Health and Physical Education/Fitness, Other",English/Language Arts Teacher Education,3.25,2026,14,22,20,11,24,497,593,678,535,693,412,629,452,678,783,697,7
5177,oramirez,7pghWpVs,NY,5,Trinity School,New York,NY,Health/Health Care Administration/Management,Botany/Plant Biology,2.40,2025,17,20,36,23,17,653,596,591,602,742,425,621,518,696,800,726,10
5176,melindahiggins,U4sH3OU90oZYVcbTc8,OR,166,Oregon Episcopal School,Portland,OR,Cell/Cellular and Molecular Biology,"Administrative Assistant and Secretarial Science, General",2.85,2024,18,19,32,24,26,400,400,800,640,619,614,684,472,576,800,534,8
5175,jacquelinethompson,7sHLkfyuP9,CA,183,Sierra Canyon School,Chatsworth,CA,Civil Engineering Technology/Technician,Information Science/Studies,2.66,2026,25,16,22,23,22,744,488,757,532,672,584,624,698,400,416,800,8
5174,latashacox,Z2lCd0GqzBAq23Ok4,CT,139,Greenwich Academy,Greenwich,CT,Electrical and Electronics Engineering,Game and Interactive Media Design,2.99,2024,15,18,26,16,12,629,557,724,618,627,539,800,628,749,677,580,6
5173,carrie50,PYoZeVTru0pU,DC,34,Sidwell Friends School,Washington,DC,Audiology/Audiologist and Speech-Language Pathology/Pathologist,Accounting,2.65,2023,14,22,17,26,33,545,561,650,562,569,637,800,548,732,589,637,8
